r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,PHS002,2,1,2046,0.0016
KENYA,PHS002,2,1,2047,0.0016
KENYA,PHS002,2,1,2048,0.0016
KENYA,PHS002,2,1,2049,0.0016
KENYA,PHS002,2,1,2050,0.0016
KENYA,PHS002,2,2,2034,0.0008
KENYA,PHS002,2,2,2035,0.0016
KENYA,PHS002,2,2,2036,0.0016
KENYA,PHS002,2,2,2037,0.0016
KENYA,PHS002,2,2,2038,0.0016
KENYA,PHS002,2,2,2039,0.0016
KENYA,PHS002,2,2,2040,0.0016
KENYA,PHS002,2,2,2041,0.0016
KENYA,PHS002,2,2,2042,0.0016
KENYA,PHS002,2,2,2043,0.0016
KENYA,PHS002,2,2,2044,0.0016
KENYA,PHS002,2,2,2045,0.0016
KENYA,PHS002,2,2,2046,0.0016
KENYA,PHS002,2,2,2047,0.0016
KENYA,PHS002,2,2,2048,0.0016
KENYA,PHS002,2,2,2049,0.0016
KENYA,PHS002,2,2,2050,0.0016
KENYA,PHS002,3,1,2034,0.0008
KENYA,PHS002,3,1,2035,0.0016
KENYA,PHS002,3,1,2036,0.0016
KENYA,PHS002,3,1,2037,0.0016
KENYA,PHS002,3,1,2038,0.0016
KENYA,PHS002,3,1,2039,0.0016
KENYA,PHS002,3,1,2040,0.0016
KENYA,PHS002,3,1,2041,0.0016
KENYA,PHS002,3,1,2042,0.0016
KENYA,PHS002,3,1,2043,0.0016
KENYA,PHS002,3,1,2044,0.0016
KENYA,PHS002,3,1,2045,0.0016
KENYA,PHS002,3,1,2046,0.0016
KENYA,PHS002,3,1,2047,0.0016
KENYA,PHS002,3,1,2048,0.0016
KENYA,PHS002,3,1,2049,0.0016
KENYA,PHS002,3,1,2050,0.0016
KENYA,PHS002,3,2,2034,0.0008
KENYA,PHS002,3,2,2035,0.0016
KENYA,PHS002,3,2,2036,0.0016
KENYA,PHS002,3,2,2037,0.0016
KENYA,PHS002,3,2,2038,0.0016
KENYA,PHS002,3,2,2039,0.0016
KENYA,PHS002,3,2,2040,0.0016
KENYA,PHS002,3,2,2041,0.0016
KENYA,PHS002,3,2,2042,0.0016
KENYA,PHS002,3,2,2043,0.0016
KENYA,PHS002,3,2,2044,0.0016
KENYA,PHS002,3,2,2045,0.0016
KENYA,PHS002,3,2,2046,0.0016
KENYA,PHS002,3,2,2047,0.0016
KENYA,PHS002,3,2,2048,0.0016
KENYA,PHS002,3,2,2049,0.0016
KENYA,PHS002,3,2,2050,0.0016
KENYA,PHS002,4,1,2034,0.0008
KENYA,PHS002,4,1,2035,0.0016
KENYA,PHS002,4,1,2036,0.0016
KENYA,PHS002,4,1,2037,0.0016
KENYA,PHS002,4,1,2038,0.0016
KENYA,PHS002,4,1,2039,0.0016
KENYA,PHS002,4,1,2040,0.0016
KENYA,PHS002,4,1,2041,0.0016
KENYA,PHS002,4,1,2042,0.0016
KENYA,PHS002,4,1,2043,0.0016
KENYA,PHS002,4,1,2044,0.0016
KENYA,PHS002,4,1,2045,0.0016
KENYA,PHS002,4,1,2046,0.0016
KENYA,PHS002,4,1,2047,0.0016
KENYA,PHS002,4,1,2048,0.0016
KENYA,PHS002,4,1,2049,0.0016
KENYA,PHS002,4,1,2050,0.0016
KENYA,PHS002,4,2,2034,0.0008
KENYA,PHS002,4,2,2035,0.0016
KENYA,PHS002,4,2,2036,0.0016
KENYA,PHS002,4,2,2037,0.0016
KENYA,PHS002,4,2,2038,0.0016
KENYA,PHS002,4,2,2039,0.0016
KENYA,PHS002,4,2,2040,0.0016
KENYA,PHS002,4,2,2041,0.0016
KENYA,PHS002,4,2,2042,0.0016
KENYA,PHS002,4,2,2043,0.0016
KENYA,PHS002,4,2,2044,0.0016
KENYA,PHS002,4,2,2045,0.0016
KENYA,PHS002,4,2,2046,0.0016
KENYA,PHS002,4,2,2047,0.0016
KENYA,PHS002,4,2,2048,0.0016
KENYA,PHS002,4,2,2049,0.0016
KENYA,PHS002,4,2,2050,0.0016
