r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,PWRGEO002,1,2028,4.1736
KENYA,PWRGEO002,1,2029,4.1736
KENYA,PWRGEO002,1,2030,4.1736
KENYA,PWRGEO002,1,2031,4.1736
KENYA,PWRGEO002,1,2032,4.1736
KENYA,PWRGEO002,1,2033,4.1736
KENYA,PWRGEO002,1,2034,4.1736
KENYA,PWRGEO002,1,2035,4.1736
KENYA,PWRGEO002,1,2036,4.1736
KENYA,PWRGEO002,1,2037,4.1736
KENYA,PWRGEO002,1,2038,4.1736
KENYA,PWRGEO002,1,2039,4.1736
KENYA,PWRGEO002,1,2040,4.1736
KENYA,PWRGEO003,1,2019,3.0109
KENYA,PWRGEO003,1,2020,3.0109
KENYA,PWRGEO003,1,2021,3.0109
KENYA,PWRGEO003,1,2022,3.0109
KENYA,PWRGEO003,1,2023,3.0109
KENYA,PWRGEO003,1,2024,3.0109
KENYA,PWRGEO003,1,2025,3.0109
KENYA,PWRGEO003,1,2026,3.0109
KENYA,PWRGEO003,1,2027,3.0109
KENYA,PWRGEO003,1,2028,3.0109
KENYA,PWRGEO004,1,2019,1.902
KENYA,PWRGEO004,1,2020,1.902
KENYA,PWRGEO004,1,2021,1.902
KENYA,PWRGEO004,1,2022,1.902
KENYA,PWRGEO004,1,2023,1.902
KENYA,PWRGEO004,1,2024,1.902
KENYA,PWRGEO004,1,2025,1.902
KENYA,PWRGEO004,1,2026,1.902
KENYA,PWRGEO004,1,2027,1.902
KENYA,PWRGEO004,1,2028,1.902
KENYA,PWRGEO004,1,2029,1.902
KENYA,PWRGEO004,1,2030,1.902
KENYA,PWRGEO004,1,2031,1.902
KENYA,PWRGEO004,1,2032,1.902
KENYA,PWRGEO004,1,2033,1.902
KENYA,PWRGEO004,1,2034,1.902
KENYA,PWRGEO004,1,2035,1.902
KENYA,PWRGEO004,1,2036,1.902
KENYA,PWRGEO004,1,2037,1.902
KENYA,PWRGEO004,1,2038,1.902
KENYA,PWRGEO004,1,2039,1.902
KENYA,PWRGEO004,1,2040,1.902
KENYA,PWRGEO004,1,2041,1.902
KENYA,PWRGEO004,1,2042,1.902
KENYA,PWRGEO005,1,2019,1.1805
KENYA,PWRGEO005,1,2020,1.1805
KENYA,PWRGEO005,1,2021,1.1805
KENYA,PWRGEO005,1,2022,1.1805
KENYA,PWRGEO005,1,2023,1.1805
KENYA,PWRGEO005,1,2024,1.1805
KENYA,PWRGEO005,1,2025,1.1805
KENYA,PWRGEO005,1,2026,1.1805
KENYA,PWRGEO005,1,2027,1.1805
KENYA,PWRGEO005,1,2028,1.1805
KENYA,PWRGEO005,1,2029,1.1805
KENYA,PWRGEO005,1,2030,1.1805
KENYA,PWRGEO005,1,2031,1.1805
KENYA,PWRGEO005,1,2032,1.1805
KENYA,PWRGEO005,1,2033,1.1805
KENYA,PWRGEO005,1,2034,1.1805
KENYA,PWRGEO005,1,2035,1.1805
KENYA,PWRGEO005,1,2036,1.1805
KENYA,PWRGEO005,1,2037,1.1805
KENYA,PWRGEO006,1,2019,4.1736
KENYA,PWRGEO006,1,2020,4.1736
KENYA,PWRGEO006,1,2021,4.1736
KENYA,PWRGEO006,1,2022,4.1736
KENYA,PWRGEO006,1,2023,4.1736
KENYA,PWRGEO006,1,2024,4.1736
KENYA,PWRGEO006,1,2025,4.1736
KENYA,PWRGEO006,1,2026,4.1736
KENYA,PWRGEO006,1,2027,4.1736
KENYA,PWRGEO006,1,2028,4.1736
KENYA,PWRGEO006,1,2029,4.1736
KENYA,PWRGEO006,1,2030,4.1736
KENYA,PWRGEO006,1,2031,4.1736
KENYA,PWRGEO006,1,2032,4.1736
KENYA,PWRGEO006,1,2033,4.1736
KENYA,PWRGEO006,1,2034,4.1736
KENYA,PWRGEO006,1,2035,4.1736
