r,t,y,SalvageValue
KENYA,BESS_TECH,2045,61.4297
KENYA,BESS_TECH,2046,15.0155
KENYA,BESS_TECH,2047,50.197
KENYA,BESS_TECH,2050,75.0942
KENYA,PWRBIO001,2023,0.5948
KENYA,PWRBIO001,2026,9.4057
KENYA,PWRBIO001,2028,9.7437
KENYA,PWRBIO001,2030,69.98
KENYA,PWRBIO001,2031,31.0937
KENYA,PWRBIO001,2032,17.8103
KENYA,PWRBIO001,2033,5.2074
KENYA,PWRBIO001,2034,10.8925
KENYA,PWRBIO001,2035,0.5666
KENYA,PWRBIO001,2036,17.4053
KENYA,PWRBIO001,2038,36.9156
KENYA,PWRBIO001,2042,80.3744
KENYA,PWRBIO001,2043,25.0119
KENYA,PWRBIO001,2044,20.7246
KENYA,PWRBIO001,2045,21.002
KENYA,PWRBIO001,2046,21.2567
KENYA,PWRBIO001,2047,21.4906
KENYA,PWRDIST,2019,707.3622
KENYA,PWRDIST,2020,79.566
KENYA,PWRDIST,2021,205.611
KENYA,PWRDIST,2022,157.0148
KENYA,PWRDIST,2023,138.1475
KENYA,PWRDIST,2024,168.9954
KENYA,PWRDIST,2025,187.7259
KENYA,PWRDIST,2026,165.536
KENYA,PWRDIST,2027,312.9195
KENYA,PWRDIST,2028,342.8232
KENYA,PWRDIST,2029,387.7033
KENYA,PWRDIST,2030,379.6832
KENYA,PWRDIST,2031,363.0386
KENYA,PWRDIST,2032,420.2481
KENYA,PWRDIST,2033,408.8064
KENYA,PWRDIST,2034,447.3602
KENYA,PWRDIST,2035,464.3672
KENYA,PWRDIST,2036,476.9032
KENYA,PWRDIST,2037,573.0282
KENYA,PWRDIST,2038,597.3233
KENYA,PWRDIST,2039,631.9697
KENYA,PWRDIST,2040,670.4289
KENYA,PWRDIST,2041,706.759
KENYA,PWRDIST,2042,731.8493
KENYA,PWRDIST,2043,780.873
KENYA,PWRDIST,2044,822.8789
KENYA,PWRDIST,2045,870.3079
KENYA,PWRDIST,2046,918.7671
KENYA,PWRDIST,2047,968.0571
KENYA,PWRDIST,2048,1023.8588
KENYA,PWRDIST,2049,1080.7706
KENYA,PWRDIST,2050,1138.5045
KENYA,PWRGEO013,2029,136.1888
KENYA,PWRGEO013,2030,30.8741
KENYA,PWRGEO014,2029,136.1462
KENYA,PWRGEO015,2034,298.2685
KENYA,PWRGEO016,2036,346.0817
KENYA,PWRGEO017,2028,18.2328
KENYA,PWRGEO018,2039,168.7876
KENYA,PWRGEO019,2037,237.4509
KENYA,PWRGEO020,2040,272.0038
KENYA,PWRGEO021,2040,271.9247
KENYA,PWRGEO024,2031,135.47
KENYA,PWRGEO025,2041,281.591
KENYA,PWRGEO026,2040,17.5647
KENYA,PWRGEO026,2041,263.4019
KENYA,PWRGEO028,2028,21.4106
KENYA,PWRGEO029,2038,249.9346
KENYA,PWRGEO030,2039,261.3981
KENYA,PWRGEO031,2040,271.9247
KENYA,PWRGEO034,2041,103.0276
KENYA,PWRGEO035,2031,49.5509
KENYA,PWRGEO042,2039,91.2119
KENYA,PWRGEO049,2050,44.7513
KENYA,PWRGEO050,2050,44.7513
KENYA,PWRGEO051,2050,44.7513
KENYA,PWRGEO101,2027,5.1004
KENYA,PWRGEO101,2028,10.6352
KENYA,PWRGEO101,2029,16.6422
KENYA,PWRGEO101,2030,23.1625
KENYA,PWRGEO101,2031,30.2407
KENYA,PWRGEO101,2032,37.9254
KENYA,PWRGEO101,2033,46.2694
KENYA,PWRGEO101,2034,55.33
KENYA,PWRGEO101,2035,65.1697
KENYA,PWRGEO101,2036,75.8562
KENYA,PWRGEO101,2037,87.4632
KENYA,PWRGEO101,2038,100.0709
KENYA,PWRGEO101,2039,113.7662
KENYA,PWRGEO101,2040,128.6438
KENYA,PWRGEO101,2041,144.8067
KENYA,PWRGEO101,2042,162.3666
KENYA,PWRGEO101,2043,181.4451
