r,t,TotalTechnologyModelPeriodActivity
KENYA,BESS_TECH,269.3956
KENYA,DEMCOMELC,740.7919
KENYA,DEMINDELC,2552.0698
KENYA,DEMRESELC,1632.1846
KENYA,IMPELC001,223.9295
KENYA,IMPHFOMOM,70.3784
KENYA,IMPHFONAI,52.9126
KENYA,IMPNGS,1462.8418
KENYA,IMPURN,955.0132
KENYA,MINBIO,149.9671
KENYA,MINGEO,6445.6293
KENYA,MINHYD,809.5834
KENYA,MINSOL,695.5293
KENYA,MINWND,683.7304
KENYA,PWRBIO001,52.436
KENYA,PWRDIST,5182.8778
KENYA,PWRGEO001,2.2358
KENYA,PWRGEO002,91.8189
KENYA,PWRGEO003,30.1094
KENYA,PWRGEO004,45.6471
KENYA,PWRGEO005,22.43
KENYA,PWRGEO006,87.6453
KENYA,PWRGEO007,10.6367
KENYA,PWRGEO008,19.0196
KENYA,PWRGEO009,9.8377
KENYA,PWRGEO010,26.0849
KENYA,PWRGEO011,62.0821
KENYA,PWRGEO012,122.4649
KENYA,PWRGEO013,91.8189
KENYA,PWRGEO014,91.8189
KENYA,PWRGEO015,70.951
KENYA,PWRGEO016,62.6038
KENYA,PWRGEO017,17.1415
KENYA,PWRGEO018,21.4642
KENYA,PWRGEO019,41.7359
KENYA,PWRGEO020,32.7925
KENYA,PWRGEO021,32.7925
KENYA,PWRGEO024,59.6226
KENYA,PWRGEO025,32.7925
KENYA,PWRGEO026,32.7925
KENYA,PWRGEO027,26.0849
KENYA,PWRGEO028,23.9981
KENYA,PWRGEO029,38.7547
KENYA,PWRGEO030,35.7736
KENYA,PWRGEO031,32.7925
KENYA,PWRGEO033,14.9057
KENYA,PWRGEO034,11.4774
KENYA,PWRGEO035,20.8679
KENYA,PWRGEO038,14.9057
KENYA,PWRGEO040,10.4936
KENYA,PWRGEO042,17.8868
KENYA,PWRGEO047,2.2358
KENYA,PWRGEO049,16.277
KENYA,PWRGEO050,16.277
KENYA,PWRGEO051,16.277
KENYA,PWRGEO101,216.1192
KENYA,PWRGEO102,536.7798
KENYA,PWRHFO002,2.0833
KENYA,PWRHFO003,2.3372
KENYA,PWRHFO004,11.744
KENYA,PWRHFO005,2.2694
KENYA,PWRHFO006,13.2094
KENYA,PWRHFO007,7.4342
KENYA,PWRHFO008,2.8178
KENYA,PWRHFO009,9.8209
KENYA,PWRHYD001,10.0907
KENYA,PWRHYD002,15.116
KENYA,PWRHYD003,42.0116
KENYA,PWRHYD004,84.3247
KENYA,PWRHYD005,18.8419
KENYA,PWRHYD006,96.3433
KENYA,PWRHYD007,55.9582
KENYA,PWRHYD008,29.4841
KENYA,PWRHYD009,9.4871
KENYA,PWRHYD010,25.8249
KENYA,PWRHYD011,11.3321
KENYA,PWRHYD015,21.7159
KENYA,PWRHYD016,82.5418
KENYA,PWRHYD101,306.5112
KENYA,PWRNGS002,146.3418
KENYA,PWRNGS003,71.4581
KENYA,PWRNGS004,36.5133
KENYA,PWRNGS005,9.2029
KENYA,PWRNGS006,9.1918
KENYA,PWRNGS009,15.733
KENYA,PWRNGS010,15.7154
KENYA,PWRNGS011,15.7436
KENYA,PWRNGS018,196.9035
KENYA,PWRPHS001,25.2589
KENYA,PWRPHS002,26.5618
KENYA,PWRSOL001,5.8824
KENYA,PWRSOL002,4.9536
KENYA,PWRSOL003,3.5294
KENYA,PWRSOL004,4.7059
KENYA,PWRSOL005,4.7059
KENYA,PWRSOL006,0.1858
KENYA,PWRSOL008,4.9536
KENYA,PWRSOL009,4.9536
KENYA,PWRSOL010,4.9536
KENYA,PWRSOL011,0.0294
KENYA,PWRSOL012,4.9536
KENYA,PWRSOL013,1.1765
KENYA,PWRSOL014,5.0001
KENYA,PWRSOL015,4.9536
KENYA,PWRSOL101,640.5922
KENYA,PWRTRN,5418.0198
KENYA,PWRURN001,125.5265
KENYA,PWRURN002,98.9567
KENYA,PWRURN003,72.1047
KENYA,PWRWND001,0.5044
KENYA,PWRWND002,3.587
KENYA,PWRWND003,2.4177
KENYA,PWRWND005,14.4751
KENYA,PWRWND006,32.9499
KENYA,PWRWND010,14.4751
KENYA,PWRWND011,32.9499
KENYA,PWRWND012,9.2106
KENYA,PWRWND013,34.6841
KENYA,PWRWND015,12.6129
KENYA,PWRWND018,29.0211
KENYA,PWRWND026,8.7162
KENYA,PWRWND027,7.0967
KENYA,PWRWND101,481.0297
