r,t,y,TotalCapacityAnnual
KENYA,IMPLFOELD,2027,9999.0
KENYA,IMPLFOELD,2028,9999.0
KENYA,IMPLFOELD,2029,9999.0
KENYA,IMPLFOELD,2030,9999.0
KENYA,IMPLFOELD,2031,9999.0
KENYA,IMPLFOELD,2032,9999.0
KENYA,IMPLFOELD,2033,9999.0
KENYA,IMPLFOELD,2034,9999.0
KENYA,IMPLFOELD,2035,9999.0
KENYA,IMPLFOELD,2036,9999.0
KENYA,IMPLFOELD,2037,9999.0
KENYA,IMPLFOELD,2038,9999.0
KENYA,IMPLFOELD,2039,9999.0
KENYA,IMPLFOELD,2040,9999.0
KENYA,IMPLFOELD,2041,9999.0
KENYA,IMPLFOELD,2042,9999.0
KENYA,IMPLFOELD,2043,9999.0
KENYA,IMPLFOELD,2044,9999.0
KENYA,IMPLFOELD,2045,9999.0
KENYA,IMPLFOELD,2046,9999.0
KENYA,IMPLFOELD,2047,9999.0
KENYA,IMPLFOELD,2048,9999.0
KENYA,IMPLFOELD,2049,9999.0
KENYA,IMPLFOELD,2050,9999.0
KENYA,IMPNGS,2019,9999.0
KENYA,IMPNGS,2020,9999.0
KENYA,IMPNGS,2021,9999.0
KENYA,IMPNGS,2022,9999.0
KENYA,IMPNGS,2023,9999.0
KENYA,IMPNGS,2024,9999.0
KENYA,IMPNGS,2025,9999.0
KENYA,IMPNGS,2026,9999.0
KENYA,IMPNGS,2027,9999.0
KENYA,IMPNGS,2028,9999.0
KENYA,IMPNGS,2029,9999.0
KENYA,IMPNGS,2030,9999.0
KENYA,IMPNGS,2031,9999.0
KENYA,IMPNGS,2032,9999.0
KENYA,IMPNGS,2033,9999.0
KENYA,IMPNGS,2034,9999.0
KENYA,IMPNGS,2035,9999.0
KENYA,IMPNGS,2036,9999.0
KENYA,IMPNGS,2037,9999.0
KENYA,IMPNGS,2038,9999.0
KENYA,IMPNGS,2039,9999.0
KENYA,IMPNGS,2040,9999.0
KENYA,IMPNGS,2041,9999.0
KENYA,IMPNGS,2042,9999.0
KENYA,IMPNGS,2043,9999.0
KENYA,IMPNGS,2044,9999.0
KENYA,IMPNGS,2045,9999.0
KENYA,IMPNGS,2046,9999.0
KENYA,IMPNGS,2047,9999.0
KENYA,IMPNGS,2048,9999.0
KENYA,IMPNGS,2049,9999.0
KENYA,IMPNGS,2050,9999.0
KENYA,IMPURN,2019,9999.0
KENYA,IMPURN,2020,9999.0
KENYA,IMPURN,2021,9999.0
KENYA,IMPURN,2022,9999.0
KENYA,IMPURN,2023,9999.0
KENYA,IMPURN,2024,9999.0
KENYA,IMPURN,2025,9999.0
KENYA,IMPURN,2026,9999.0
KENYA,IMPURN,2027,9999.0
KENYA,IMPURN,2028,9999.0
