r,s,y,NewStorageCapacity
KENYA,PHS001,2037,0.0007
KENYA,PHS001,2038,0.0002
KENYA,PHS001,2041,0.0015
KENYA,PHS001,2042,0.0001
KENYA,PHS001,2043,0.0037
KENYA,PHS001,2044,0.0003
KENYA,PHS001,2045,0.0213
KENYA,PHS001,2046,0.0044
KENYA,PHS002,2038,0.003
KENYA,PHS002,2041,0.0002
KENYA,PHS002,2043,0.0003
KENYA,PHS002,2044,0.0071
KENYA,PHS002,2045,0.0152
KENYA,PHS002,2046,0.0049
KENYA,PHS002,2047,0.0016
KENYA,BESS001,2028,1.0452
KENYA,BESS001,2029,0.4303
KENYA,BESS001,2030,0.4416
KENYA,BESS001,2032,0.217
KENYA,BESS001,2033,0.0638
KENYA,BESS001,2034,0.8775
KENYA,BESS001,2035,0.0868
KENYA,BESS001,2036,0.0247
KENYA,BESS001,2037,0.0845
KENYA,BESS001,2040,0.4397
KENYA,BESS001,2042,0.3697
KENYA,BESS001,2043,3.3152
KENYA,BESS001,2044,2.2268
KENYA,BESS001,2045,3.3961
KENYA,BESS001,2046,6.5498
KENYA,BESS001,2047,8.9126
KENYA,BESS001,2048,11.473
