r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,PWRGEO005,1,2035,1.1805
KENYA,PWRGEO005,1,2036,1.1805
KENYA,PWRGEO005,1,2037,1.1805
KENYA,PWRGEO006,1,2019,4.1736
KENYA,PWRGEO006,1,2020,4.1736
KENYA,PWRGEO006,1,2021,4.1736
KENYA,PWRGEO006,1,2022,4.1736
KENYA,PWRGEO006,1,2023,4.1736
KENYA,PWRGEO006,1,2024,4.1736
KENYA,PWRGEO006,1,2025,4.1736
KENYA,PWRGEO006,1,2026,4.1736
KENYA,PWRGEO006,1,2027,4.1736
KENYA,PWRGEO006,1,2028,4.1736
KENYA,PWRGEO006,1,2029,4.1736
KENYA,PWRGEO006,1,2030,4.1736
KENYA,PWRGEO006,1,2031,4.1736
KENYA,PWRGEO006,1,2032,4.1736
KENYA,PWRGEO006,1,2033,4.1736
KENYA,PWRGEO006,1,2034,4.1736
KENYA,PWRGEO006,1,2035,4.1736
KENYA,PWRGEO006,1,2036,4.1736
KENYA,PWRGEO006,1,2037,4.1736
KENYA,PWRGEO006,1,2038,4.1736
KENYA,PWRGEO006,1,2039,4.1736
KENYA,PWRGEO007,1,2019,1.3296
KENYA,PWRGEO007,1,2020,1.3296
KENYA,PWRGEO007,1,2021,1.3296
KENYA,PWRGEO007,1,2022,1.3296
KENYA,PWRGEO007,1,2023,1.3296
KENYA,PWRGEO007,1,2024,1.3296
KENYA,PWRGEO007,1,2025,1.3296
KENYA,PWRGEO007,1,2026,1.3296
KENYA,PWRGEO008,1,2019,0.8645
KENYA,PWRGEO008,1,2020,0.8645
KENYA,PWRGEO008,1,2021,0.8645
KENYA,PWRGEO008,1,2022,0.8645
KENYA,PWRGEO008,1,2023,0.8645
KENYA,PWRGEO008,1,2024,0.8645
KENYA,PWRGEO008,1,2025,0.8645
KENYA,PWRGEO008,1,2026,0.8645
KENYA,PWRGEO008,1,2027,0.8645
KENYA,PWRGEO008,1,2028,0.8645
KENYA,PWRGEO008,1,2029,0.8645
KENYA,PWRGEO008,1,2030,0.8645
KENYA,PWRGEO008,1,2031,0.8645
KENYA,PWRGEO008,1,2032,0.8645
KENYA,PWRGEO008,1,2033,0.8645
KENYA,PWRGEO008,1,2034,0.8645
KENYA,PWRGEO008,1,2035,0.8645
KENYA,PWRGEO008,1,2036,0.8645
KENYA,PWRGEO008,1,2037,0.8645
KENYA,PWRGEO008,1,2038,0.8645
KENYA,PWRGEO008,1,2039,0.8645
KENYA,PWRGEO008,1,2040,0.8645
KENYA,PWRGEO009,1,2019,0.8198
KENYA,PWRGEO009,1,2020,0.8198
KENYA,PWRGEO009,1,2021,0.8198
KENYA,PWRGEO009,1,2022,0.8198
KENYA,PWRGEO009,1,2023,0.8198
KENYA,PWRGEO009,1,2024,0.8198
KENYA,PWRGEO009,1,2025,0.8198
KENYA,PWRGEO009,1,2026,0.8198
KENYA,PWRGEO009,1,2027,0.8198
KENYA,PWRGEO009,1,2028,0.8198
KENYA,PWRGEO009,1,2029,0.8198
KENYA,PWRGEO009,1,2030,0.8198
