r,t,TotalTechnologyModelPeriodActivity
KENYA,BESS_TECH,273.9996
KENYA,DEMCOMELC,740.7919
KENYA,DEMINDELC,2552.0698
KENYA,DEMRESELC,1632.1846
KENYA,IMPELC001,198.652
KENYA,IMPHFOMOM,78.6257
KENYA,IMPHFONAI,54.8137
KENYA,IMPNGS,964.7486
KENYA,IMPURN,671.7844
KENYA,MINBIO,143.8038
KENYA,MINGEO,6747.0701
KENYA,MINHYD,604.6718
KENYA,MINSOL,638.2046
KENYA,MINWND,1136.464
KENYA,PWRBIO001,50.2811
KENYA,PWRDIST,5182.8778
KENYA,PWRGEO001,2.2358
KENYA,PWRGEO002,91.8189
KENYA,PWRGEO003,30.1094
KENYA,PWRGEO004,45.6471
KENYA,PWRGEO005,22.43
KENYA,PWRGEO006,87.6453
KENYA,PWRGEO007,10.6367
KENYA,PWRGEO008,19.0196
KENYA,PWRGEO009,9.8377
KENYA,PWRGEO010,26.0849
KENYA,PWRGEO011,62.0821
KENYA,PWRGEO012,122.4649
KENYA,PWRGEO013,91.765
KENYA,PWRGEO014,91.8189
KENYA,PWRGEO015,70.951
KENYA,PWRGEO016,62.6038
KENYA,PWRGEO017,17.1415
KENYA,PWRGEO018,21.4642
KENYA,PWRGEO019,41.7359
KENYA,PWRGEO020,32.6322
KENYA,PWRGEO021,32.7691
KENYA,PWRGEO024,59.5726
KENYA,PWRGEO025,32.7126
KENYA,PWRGEO026,32.7925
KENYA,PWRGEO027,26.0849
KENYA,PWRGEO028,23.9129
KENYA,PWRGEO029,38.6749
KENYA,PWRGEO030,35.7184
KENYA,PWRGEO031,32.7925
KENYA,PWRGEO033,14.9057
KENYA,PWRGEO034,11.4774
KENYA,PWRGEO035,20.8136
KENYA,PWRGEO038,14.8897
KENYA,PWRGEO040,10.4936
KENYA,PWRGEO042,17.8469
KENYA,PWRGEO047,2.2358
KENYA,PWRGEO049,16.2392
KENYA,PWRGEO050,16.2498
KENYA,PWRGEO051,16.2247
KENYA,PWRGEO101,332.1581
KENYA,PWRGEO102,523.0511
KENYA,PWRHFO002,2.1373
KENYA,PWRHFO003,2.6341
KENYA,PWRHFO004,13.9806
KENYA,PWRHFO005,2.76
KENYA,PWRHFO006,13.5896
KENYA,PWRHFO007,7.9186
KENYA,PWRHFO008,2.977
KENYA,PWRHFO009,9.9182
KENYA,PWRHYD001,10.0907
KENYA,PWRHYD002,15.116
KENYA,PWRHYD003,42.0116
KENYA,PWRHYD004,84.3247
KENYA,PWRHYD005,18.8419
KENYA,PWRHYD006,96.3433
KENYA,PWRHYD007,55.9582
KENYA,PWRHYD008,29.4841
KENYA,PWRHYD009,9.4871
KENYA,PWRHYD015,21.7159
KENYA,PWRHYD016,82.5418
KENYA,PWRHYD101,138.7566
KENYA,PWRNGS002,94.7027
KENYA,PWRNGS003,35.1705
KENYA,PWRNGS004,31.3016
KENYA,PWRNGS005,7.5116
KENYA,PWRNGS006,7.4966
KENYA,PWRNGS009,12.0146
KENYA,PWRNGS010,13.174
KENYA,PWRNGS011,13.2591
KENYA,PWRNGS018,121.3725
KENYA,PWRPHS001,12.6156
KENYA,PWRPHS002,12.531
KENYA,PWRSOL001,5.8824
KENYA,PWRSOL002,4.9536
KENYA,PWRSOL003,3.5294
KENYA,PWRSOL004,4.7059
KENYA,PWRSOL005,4.7059
KENYA,PWRSOL006,0.1858
KENYA,PWRSOL008,4.9536
KENYA,PWRSOL009,4.9536
KENYA,PWRSOL010,4.9536
KENYA,PWRSOL011,0.0294
KENYA,PWRSOL012,4.9536
KENYA,PWRSOL013,1.1765
KENYA,PWRSOL014,5.0001
KENYA,PWRSOL015,4.9536
KENYA,PWRSOL101,583.2675
KENYA,PWRTRN,5418.0198
KENYA,PWRURN001,108.5802
KENYA,PWRURN002,81.6516
KENYA,PWRURN003,18.3968
KENYA,PWRWND001,0.5044
KENYA,PWRWND002,3.587
KENYA,PWRWND003,2.4177
KENYA,PWRWND005,14.4751
KENYA,PWRWND006,32.9499
KENYA,PWRWND010,14.4751
KENYA,PWRWND011,32.9499
KENYA,PWRWND012,9.1669
KENYA,PWRWND013,34.6841
KENYA,PWRWND015,12.6129
KENYA,PWRWND018,29.0211
KENYA,PWRWND026,8.7162
KENYA,PWRWND027,7.0967
KENYA,PWRWND101,933.807
