r,t,e,m,y,AnnualTechnologyEmissionByMode
KENYA,PWRBIO001,CO2,1,2019,0.0052
KENYA,PWRBIO001,CO2,1,2020,0.0052
KENYA,PWRBIO001,CO2,1,2021,0.0052
KENYA,PWRBIO001,CO2,1,2022,0.0052
KENYA,PWRBIO001,CO2,1,2023,0.0089
KENYA,PWRBIO001,CO2,1,2024,0.0089
KENYA,PWRBIO001,CO2,1,2025,0.0089
KENYA,PWRBIO001,CO2,1,2026,0.0351
KENYA,PWRBIO001,CO2,1,2027,0.0351
KENYA,PWRBIO001,CO2,1,2028,0.056
KENYA,PWRBIO001,CO2,1,2029,0.056
KENYA,PWRBIO001,CO2,1,2030,0.1821
KENYA,PWRBIO001,CO2,1,2031,0.2345
KENYA,PWRBIO001,CO2,1,2032,0.2627
KENYA,PWRBIO001,CO2,1,2033,0.2706
KENYA,PWRBIO001,CO2,1,2034,0.2863
KENYA,PWRBIO001,CO2,1,2035,0.2871
KENYA,PWRBIO001,CO2,1,2036,0.3104
KENYA,PWRBIO001,CO2,1,2037,0.3337
KENYA,PWRBIO001,CO2,1,2038,0.357
KENYA,PWRBIO001,CO2,1,2039,0.3802
KENYA,PWRBIO001,CO2,1,2040,0.4035
KENYA,PWRBIO001,CO2,1,2041,0.4268
KENYA,PWRBIO001,CO2,1,2042,0.4501
KENYA,PWRBIO001,CO2,1,2043,0.4734
KENYA,PWRBIO001,CO2,1,2044,0.4967
KENYA,PWRBIO001,CO2,1,2045,0.52
KENYA,PWRBIO001,CO2,1,2046,0.5433
KENYA,PWRBIO001,CO2,1,2047,0.5666
KENYA,PWRBIO001,CO2,1,2048,0.5666
KENYA,PWRBIO001,CO2,1,2049,0.3974
KENYA,PWRBIO001,CO2,1,2050,0.3679
KENYA,PWRHFO002,CO2,1,2020,0.0015
KENYA,PWRHFO002,CO2,1,2021,0.0036
KENYA,PWRHFO002,CO2,1,2030,0.0783
KENYA,PWRHFO002,CO2,1,2031,0.0745
KENYA,PWRHFO002,CO2,1,2032,0.082
KENYA,PWRHFO002,CO2,1,2033,0.082
KENYA,PWRHFO002,CO2,1,2034,0.082
KENYA,PWRHFO003,CO2,1,2019,0.0993
KENYA,PWRHFO003,CO2,1,2020,0.1126
KENYA,PWRHFO003,CO2,1,2021,0.1013
KENYA,PWRHFO003,CO2,1,2022,0.0468
KENYA,PWRHFO003,CO2,1,2023,0.0483
KENYA,PWRHFO003,CO2,1,2024,0.0738
KENYA,PWRHFO004,CO2,1,2019,0.349
KENYA,PWRHFO004,CO2,1,2020,0.4371
KENYA,PWRHFO004,CO2,1,2021,0.4416
KENYA,PWRHFO004,CO2,1,2022,0.1336
KENYA,PWRHFO004,CO2,1,2023,0.1371
KENYA,PWRHFO004,CO2,1,2024,0.17
KENYA,PWRHFO004,CO2,1,2025,0.1498
KENYA,PWRHFO004,CO2,1,2026,0.0156
KENYA,PWRHFO004,CO2,1,2027,0.1514
KENYA,PWRHFO004,CO2,1,2028,0.1606
KENYA,PWRHFO004,CO2,1,2029,0.1606
KENYA,PWRHFO004,CO2,1,2030,0.1682
KENYA,PWRHFO005,CO2,1,2019,0.0947
KENYA,PWRHFO005,CO2,1,2020,0.1072
KENYA,PWRHFO005,CO2,1,2021,0.1122
KENYA,PWRHFO005,CO2,1,2022,0.0255
KENYA,PWRHFO005,CO2,1,2023,0.0312
KENYA,PWRHFO005,CO2,1,2024,0.0682
KENYA,PWRHFO005,CO2,1,2025,0.0717
KENYA,PWRHFO006,CO2,1,2019,0.435
KENYA,PWRHFO006,CO2,1,2020,0.435
KENYA,PWRHFO006,CO2,1,2021,0.435
KENYA,PWRHFO006,CO2,1,2022,0.1348
KENYA,PWRHFO006,CO2,1,2023,0.1338
KENYA,PWRHFO006,CO2,1,2024,0.1534
KENYA,PWRHFO006,CO2,1,2025,0.1323
KENYA,PWRHFO006,CO2,1,2026,0.0659
KENYA,PWRHFO006,CO2,1,2027,0.1238
KENYA,PWRHFO006,CO2,1,2028,0.1238
KENYA,PWRHFO006,CO2,1,2029,0.1238
KENYA,PWRHFO007,CO2,1,2019,0.0543
KENYA,PWRHFO007,CO2,1,2020,0.0661
KENYA,PWRHFO007,CO2,1,2021,0.0706
KENYA,PWRHFO007,CO2,1,2022,0.0106
KENYA,PWRHFO007,CO2,1,2023,0.0025
KENYA,PWRHFO007,CO2,1,2024,0.0307
KENYA,PWRHFO007,CO2,1,2025,0.022
KENYA,PWRHFO007,CO2,1,2026,0.0016
KENYA,PWRHFO007,CO2,1,2027,0.0354
KENYA,PWRHFO007,CO2,1,2028,0.0819
KENYA,PWRHFO007,CO2,1,2029,0.0782
KENYA,PWRHFO007,CO2,1,2030,0.1181
KENYA,PWRHFO007,CO2,1,2031,0.1219
KENYA,PWRHFO007,CO2,1,2032,0.2334
KENYA,PWRHFO007,CO2,1,2033,0.4348
KENYA,PWRHFO008,CO2,1,2019,0.0072
KENYA,PWRHFO008,CO2,1,2020,0.0131
KENYA,PWRHFO008,CO2,1,2021,0.0139
KENYA,PWRHFO008,CO2,1,2024,0.0032
KENYA,PWRHFO008,CO2,1,2025,0.0029
KENYA,PWRHFO008,CO2,1,2027,0.0035
KENYA,PWRHFO008,CO2,1,2028,0.0127
KENYA,PWRHFO008,CO2,1,2029,0.0127
KENYA,PWRHFO008,CO2,1,2030,0.1147
KENYA,PWRHFO008,CO2,1,2031,0.1147
KENYA,PWRHFO008,CO2,1,2032,0.1201
KENYA,PWRHFO008,CO2,1,2033,0.1201
KENYA,PWRHFO009,CO2,1,2019,0.0363
KENYA,PWRHFO009,CO2,1,2020,0.0511
KENYA,PWRHFO009,CO2,1,2021,0.0577
KENYA,PWRHFO009,CO2,1,2022,0.0007
KENYA,PWRHFO009,CO2,1,2023,0.0121
KENYA,PWRHFO009,CO2,1,2024,0.0206
KENYA,PWRHFO009,CO2,1,2025,0.0211
KENYA,PWRHFO009,CO2,1,2027,0.0403
KENYA,PWRHFO009,CO2,1,2028,0.0711
KENYA,PWRHFO009,CO2,1,2029,0.0826
KENYA,PWRHFO009,CO2,1,2030,0.1126
KENYA,PWRHFO009,CO2,1,2031,0.1126
KENYA,PWRHFO009,CO2,1,2032,0.2906
KENYA,PWRHFO009,CO2,1,2033,0.4148
KENYA,PWRHFO009,CO2,1,2034,0.1314
KENYA,PWRHFO009,CO2,1,2035,0.2503
KENYA,PWRNGS002,CO2,1,2031,0.2722
KENYA,PWRNGS002,CO2,1,2032,0.6108
KENYA,PWRNGS002,CO2,1,2033,0.701
KENYA,PWRNGS002,CO2,1,2034,1.4795
KENYA,PWRNGS002,CO2,1,2035,2.0155
KENYA,PWRNGS002,CO2,1,2036,1.0105
KENYA,PWRNGS002,CO2,1,2037,1.3379
KENYA,PWRNGS002,CO2,1,2038,2.0155
