r,t,y,CapitalInvestment
KENYA,BESS_TECH,2025,25.5557
KENYA,BESS_TECH,2026,65.5023
KENYA,BESS_TECH,2027,38.6431
KENYA,BESS_TECH,2028,110.91
KENYA,BESS_TECH,2029,50.9273
KENYA,BESS_TECH,2030,113.2134
KENYA,BESS_TECH,2038,86.8225
KENYA,BESS_TECH,2040,26.9626
KENYA,BESS_TECH,2041,183.0157
KENYA,BESS_TECH,2042,126.2344
KENYA,BESS_TECH,2043,263.5875
KENYA,BESS_TECH,2044,161.2182
KENYA,BESS_TECH,2045,143.0705
KENYA,BESS_TECH,2046,72.0091
KENYA,BESS_TECH,2047,142.7571
KENYA,BESS_TECH,2048,164.8943
KENYA,BESS_TECH,2050,32.7
KENYA,PWRBIO001,2023,3.5
KENYA,PWRBIO001,2026,25.0
KENYA,PWRBIO001,2028,20.0
KENYA,PWRBIO001,2030,120.5
KENYA,PWRBIO001,2031,50.0
KENYA,PWRBIO001,2032,27.0
KENYA,PWRBIO001,2033,7.5
KENYA,PWRBIO001,2034,15.0
KENYA,PWRBIO001,2035,0.75
KENYA,PWRBIO001,2036,22.25
KENYA,PWRBIO001,2037,22.25
KENYA,PWRBIO001,2038,22.25
KENYA,PWRBIO001,2039,22.25
KENYA,PWRBIO001,2040,22.25
KENYA,PWRBIO001,2041,22.25
KENYA,PWRBIO001,2042,22.25
KENYA,PWRBIO001,2043,27.25
KENYA,PWRBIO001,2044,22.25
KENYA,PWRBIO001,2045,22.25
KENYA,PWRBIO001,2046,22.25
KENYA,PWRBIO001,2047,22.25
KENYA,PWRDIST,2019,734.3144
KENYA,PWRDIST,2020,82.3234
KENYA,PWRDIST,2021,212.0898
KENYA,PWRDIST,2022,161.5115
KENYA,PWRDIST,2023,141.7416
KENYA,PWRDIST,2024,172.9869
KENYA,PWRDIST,2025,191.7485
KENYA,PWRDIST,2026,477.2698
KENYA,PWRDIST,2027,541.8762
KENYA,PWRDIST,2028,601.4486
KENYA,PWRDIST,2029,650.9964
KENYA,PWRDIST,2030,672.1895
KENYA,PWRDIST,2031,747.0611
KENYA,PWRDIST,2032,831.4389
KENYA,PWRDIST,2033,890.0664
KENYA,PWRDIST,2034,981.7868
KENYA,PWRDIST,2035,1065.6845
KENYA,PWRDIST,2036,1168.5991
KENYA,PWRDIST,2037,1309.9174
KENYA,PWRDIST,2038,1427.5917
KENYA,PWRDIST,2039,1553.9065
KENYA,PWRDIST,2040,1695.3138
KENYA,PWRDIST,2041,1847.617
KENYA,PWRDIST,2042,1833.7405
KENYA,PWRDIST,2043,1948.5147
KENYA,PWRDIST,2044,2102.1681
KENYA,PWRDIST,2045,2273.9333
KENYA,PWRDIST,2046,2456.6281
KENYA,PWRDIST,2047,2650.3068
KENYA,PWRDIST,2048,2867.0303
KENYA,PWRDIST,2049,3097.3872
KENYA,PWRDIST,2050,3341.4867
KENYA,PWRGEO010,2023,120.365
KENYA,PWRGEO011,2022,280.3045
KENYA,PWRGEO013,2029,626.0002
KENYA,PWRGEO014,2029,531.6696
KENYA,PWRGEO015,2034,531.6696
KENYA,PWRGEO016,2036,531.6696
KENYA,PWRGEO017,2028,102.5
KENYA,PWRGEO018,2039,222.06
KENYA,PWRGEO019,2037,343.9
KENYA,PWRGEO020,2040,344.0
KENYA,PWRGEO021,2040,343.9
KENYA,PWRGEO024,2031,344.0
KENYA,PWRGEO025,2040,343.9
KENYA,PWRGEO026,2040,343.9
KENYA,PWRGEO027,2025,120.365
KENYA,PWRGEO028,2028,120.365
KENYA,PWRGEO029,2038,343.9
KENYA,PWRGEO030,2039,343.9
KENYA,PWRGEO031,2040,343.9
KENYA,PWRGEO033,2025,22.0
KENYA,PWRGEO034,2040,125.825
KENYA,PWRGEO035,2031,125.825
KENYA,PWRGEO038,2026,22.0
KENYA,PWRGEO042,2039,120.0
KENYA,PWRGEO049,2025,45.2941
KENYA,PWRGEO049,2050,45.2941
KENYA,PWRGEO050,2025,45.2941
KENYA,PWRGEO050,2050,45.2941
KENYA,PWRGEO051,2025,45.2941
KENYA,PWRGEO051,2050,45.2941
KENYA,PWRGEO101,2026,54.4852
KENYA,PWRGEO101,2027,61.9497
KENYA,PWRGEO101,2028,70.4368
KENYA,PWRGEO101,2029,80.0866
KENYA,PWRGEO101,2030,91.0585
KENYA,PWRGEO101,2031,103.5335
KENYA,PWRGEO101,2032,117.7176
KENYA,PWRGEO101,2033,133.8449
KENYA,PWRGEO101,2034,152.1816
KENYA,PWRGEO101,2035,173.0305
KENYA,PWRGEO101,2036,196.7357
KENYA,PWRGEO101,2037,223.6885
KENYA,PWRGEO101,2038,254.3338
KENYA,PWRGEO101,2039,289.1776
KENYA,PWRGEO101,2040,328.7949
KENYA,PWRGEO101,2041,373.8398
KENYA,PWRGEO101,2042,425.0558
KENYA,PWRGEO101,2043,483.2885
KENYA,PWRGEO101,2044,549.499
KENYA,PWRGEO101,2045,624.7804
KENYA,PWRGEO101,2046,710.3753
KENYA,PWRGEO101,2047,437.0226
KENYA,PWRGEO102,2026,817.278
KENYA,PWRGEO102,2027,108.9704
KENYA,PWRGEO102,2028,108.9704
KENYA,PWRGEO102,2029,108.9704
KENYA,PWRGEO102,2030,108.9704
KENYA,PWRGEO102,2031,245.1834
KENYA,PWRGEO102,2032,179.8012
KENYA,PWRGEO102,2033,179.8012
KENYA,PWRGEO102,2034,179.8012
KENYA,PWRGEO102,2035,239.7349
KENYA,PWRGEO102,2036,239.7349
KENYA,PWRGEO102,2037,299.6686
KENYA,PWRGEO102,2038,239.7349
KENYA,PWRGEO102,2039,359.6023
KENYA,PWRGEO102,2040,359.6023
KENYA,PWRGEO102,2041,359.6023
KENYA,PWRGEO102,2042,479.4698
KENYA,PWRGEO102,2043,479.4698
KENYA,PWRGEO102,2044,539.4035
KENYA,PWRGEO102,2045,599.3372
KENYA,PWRGEO102,2046,659.2709
KENYA,PWRGEO102,2047,719.2046
KENYA,PWRGEO102,2048,779.1384
KENYA,PWRGEO102,2049,234.687
KENYA,PWRHYD015,2033,542.2883
KENYA,PWRHYD016,2023,25.4351
KENYA,PWRHYD016,2024,8.7106
KENYA,PWRHYD016,2025,1.0453
KENYA,PWRHYD016,2026,86.4096
KENYA,PWRHYD016,2027,38.3269
KENYA,PWRHYD016,2028,10.8012
KENYA,PWRHYD016,2029,25.7835
KENYA,PWRHYD016,2030,127.5239
KENYA,PWRHYD016,2031,97.9077
KENYA,PWRHYD016,2032,63.4135
KENYA,PWRHYD016,2033,112.1932
KENYA,PWRHYD016,2034,87.4549
KENYA,PWRHYD016,2035,110.451
KENYA,PWRHYD016,2036,97.2109
KENYA,PWRHYD016,2037,12.5433
KENYA,PWRHYD016,2038,13.5886
KENYA,PWRHYD016,2039,14.6339
KENYA,PWRHYD016,2040,16.376
KENYA,PWRHYD016,2041,17.7697
KENYA,PWRHYD016,2042,19.5119
KENYA,PWRHYD016,2043,21.254
KENYA,PWRHYD016,2044,22.9961
KENYA,PWRHYD016,2045,25.4351
KENYA,PWRHYD016,2046,27.8741
KENYA,PWRHYD016,2047,30.3131
KENYA,PWRHYD016,2048,33.1005
KENYA,PWRHYD016,2049,36.2363
KENYA,PWRHYD016,2050,39.7206
KENYA,PWRHYD101,2021,49.075
KENYA,PWRHYD101,2022,56.1172
KENYA,PWRHYD101,2023,64.17
KENYA,PWRHYD101,2024,73.3784
KENYA,PWRHYD101,2025,83.9082
KENYA,PWRHYD101,2026,95.9491
KENYA,PWRHYD101,2027,109.7178
KENYA,PWRHYD101,2028,125.4623
KENYA,PWRHYD101,2029,143.4661
KENYA,PWRHYD101,2030,164.0535
KENYA,PWRHYD101,2031,187.5952
KENYA,PWRHYD101,2032,214.5151
KENYA,PWRHYD101,2033,245.298
KENYA,PWRHYD101,2034,280.4982
KENYA,PWRHYD101,2035,320.7497
KENYA,PWRHYD101,2036,366.7773
KENYA,PWRNGS002,2031,254.3705
KENYA,PWRNGS002,2032,251.6283
KENYA,PWRNGS003,2041,505.9988
KENYA,PWRNGS004,2027,171.428
KENYA,PWRNGS004,2047,171.428
KENYA,PWRNGS005,2032,52.6003
KENYA,PWRNGS005,2034,15.9709
KENYA,PWRNGS006,2034,68.5712
KENYA,PWRNGS009,2030,119.9996
KENYA,PWRNGS010,2035,119.9996
KENYA,PWRNGS011,2034,119.9996
KENYA,PWRNGS018,2033,37.8104
KENYA,PWRNGS018,2034,65.4362
KENYA,PWRNGS018,2035,206.7574
KENYA,PWRNGS018,2036,12.255
KENYA,PWRNGS018,2037,135.0252
KENYA,PWRNGS018,2038,76.6283
KENYA,PWRNGS018,2039,59.1898
KENYA,PWRNGS018,2040,134.781
KENYA,PWRNGS018,2041,122.0567
KENYA,PWRNGS018,2042,142.4567
KENYA,PWRNGS018,2043,119.3178
KENYA,PWRNGS018,2044,127.4505
KENYA,PWRNGS018,2045,231.7285
KENYA,PWRNGS018,2046,114.6249
KENYA,PWRNGS018,2047,39.1147
KENYA,PWRPHS001,2037,218.6026
KENYA,PWRPHS001,2038,123.4844
KENYA,PWRPHS002,2038,342.087
KENYA,PWRSOL002,2023,46.4228
KENYA,PWRSOL003,2032,24.7518
KENYA,PWRSOL004,2032,32.3424
KENYA,PWRSOL005,2032,33.676
KENYA,PWRSOL006,2023,1.6719
KENYA,PWRSOL008,2022,48.6512
KENYA,PWRSOL009,2026,41.154
KENYA,PWRSOL010,2021,50.9868
KENYA,PWRSOL012,2021,50.9868
KENYA,PWRSOL013,2032,8.5908
KENYA,PWRSOL014,2032,37.2559
KENYA,PWRSOL015,2024,43.4104
KENYA,PWRSOL101,2026,14.17
KENYA,PWRSOL101,2027,16.5832
KENYA,PWRSOL101,2028,20.4322
KENYA,PWRSOL101,2029,25.6419
KENYA,PWRSOL101,2030,32.5199
KENYA,PWRSOL101,2031,41.4734
KENYA,PWRSOL101,2032,53.1444
KENYA,PWRSOL101,2033,68.2466
KENYA,PWRSOL101,2034,87.7696
KENYA,PWRSOL101,2035,113.1038
KENYA,PWRSOL101,2036,145.6776
KENYA,PWRSOL101,2037,187.8717
KENYA,PWRSOL101,2038,242.7036
KENYA,PWRSOL101,2039,313.0826
KENYA,PWRSOL101,2040,404.0426
KENYA,PWRSOL101,2041,521.7978
KENYA,PWRSOL101,2042,687.7919
KENYA,PWRSOL101,2043,911.4183
KENYA,PWRSOL101,2044,639.5711
KENYA,PWRSOL101,2045,334.4488
KENYA,PWRSOL101,2046,27.8808
KENYA,PWRTRN,2019,138.1155
KENYA,PWRTRN,2020,12.5545
KENYA,PWRTRN,2021,32.3441
KENYA,PWRTRN,2022,24.6308
KENYA,PWRTRN,2023,21.6159
KENYA,PWRTRN,2024,26.3808
KENYA,PWRTRN,2025,29.242
KENYA,PWRTRN,2026,72.7845
KENYA,PWRTRN,2027,82.6371
KENYA,PWRTRN,2028,91.722
KENYA,PWRTRN,2029,99.2782
KENYA,PWRTRN,2030,102.5102
KENYA,PWRTRN,2031,113.9282
KENYA,PWRTRN,2032,126.796
KENYA,PWRTRN,2033,135.7368
KENYA,PWRTRN,2034,149.7243
KENYA,PWRTRN,2035,162.5189
KENYA,PWRTRN,2036,178.2136
KENYA,PWRTRN,2037,199.7649
KENYA,PWRTRN,2038,217.7104
KENYA,PWRTRN,2039,236.9737
KENYA,PWRTRN,2040,258.5385
KENYA,PWRTRN,2041,281.7651
KENYA,PWRTRN,2042,279.6489
KENYA,PWRTRN,2043,297.1521
KENYA,PWRTRN,2044,320.5846
KENYA,PWRTRN,2045,346.7791
KENYA,PWRTRN,2046,374.6404
KENYA,PWRTRN,2047,404.1768
KENYA,PWRTRN,2048,437.2275
KENYA,PWRTRN,2049,472.3574
KENYA,PWRTRN,2050,509.583
KENYA,PWRURN001,2036,1456.5
KENYA,PWRURN002,2039,1456.5
KENYA,PWRURN003,2042,500.9779
KENYA,PWRWND003,2025,19.0608
KENYA,PWRWND005,2021,89.133
KENYA,PWRWND010,2021,89.133
KENYA,PWRWND012,2030,84.6955
KENYA,PWRWND015,2026,86.8715
KENYA,PWRWND018,2028,170.526
KENYA,PWRWND018,2048,163.832
KENYA,PWRWND026,2031,67.1264
KENYA,PWRWND027,2033,84.3575
KENYA,PWRWND101,2026,20.53
KENYA,PWRWND101,2027,24.7993
KENYA,PWRWND101,2028,30.5436
KENYA,PWRWND101,2029,37.9004
KENYA,PWRWND101,2030,47.2288
KENYA,PWRWND101,2031,58.9867
KENYA,PWRWND101,2032,73.8083
KENYA,PWRWND101,2033,92.4257
KENYA,PWRWND101,2034,115.8353
KENYA,PWRWND101,2035,145.2125
KENYA,PWRWND101,2036,182.2074
KENYA,PWRWND101,2037,228.7027
KENYA,PWRWND101,2038,286.9758
KENYA,PWRWND101,2039,360.2242
KENYA,PWRWND101,2040,452.3396
KENYA,PWRWND101,2041,568.2388
KENYA,PWRWND101,2042,713.6386
KENYA,PWRWND101,2043,895.9895
KENYA,PWRWND101,2044,1125.4216
KENYA,PWRWND101,2045,1413.2106
KENYA,PWRWND101,2046,1775.4122
KENYA,PWRWND101,2047,2227.8978
KENYA,PWRWND101,2048,2792.8217
KENYA,PWRWND101,2049,3505.4796
KENYA,PWRWND101,2050,4405.9173
