r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,2,1,3,2048,-2.384
KENYA,BESS001,2,1,3,2050,-2.1883
KENYA,BESS001,2,1,4,2024,-0.2048
KENYA,BESS001,2,1,4,2025,-2.6007
KENYA,BESS001,2,1,4,2026,-2.7221
KENYA,BESS001,2,1,4,2027,-2.7221
KENYA,BESS001,2,1,4,2028,-2.3683
KENYA,BESS001,2,1,4,2029,-2.7221
KENYA,BESS001,2,1,4,2030,-2.7221
KENYA,BESS001,2,1,4,2031,-2.7221
KENYA,BESS001,2,1,4,2032,-2.055
KENYA,BESS001,2,1,4,2033,-2.4115
KENYA,BESS001,2,1,4,2034,-1.6765
KENYA,BESS001,2,1,4,2044,0.2348
KENYA,BESS001,2,1,4,2045,-0.9105
KENYA,BESS001,2,1,4,2046,-1.1847
KENYA,BESS001,2,1,4,2047,-9.2599
KENYA,BESS001,2,1,4,2048,0.1075
KENYA,BESS001,2,1,4,2049,-5.1587
KENYA,BESS001,2,1,4,2050,-5.3176
KENYA,BESS001,2,1,5,2024,0.2048
KENYA,BESS001,2,1,5,2025,-0.4226
KENYA,BESS001,2,1,5,2026,0.7763
KENYA,BESS001,2,1,5,2027,-1.7384
KENYA,BESS001,2,1,5,2028,0.7306
KENYA,BESS001,2,1,5,2029,-0.6912
KENYA,BESS001,2,1,5,2030,0.8628
KENYA,BESS001,2,1,5,2031,-1.9725
KENYA,BESS001,2,1,5,2032,2.7221
KENYA,BESS001,2,1,5,2033,2.7221
KENYA,BESS001,2,1,5,2034,-0.927
KENYA,BESS001,2,1,5,2044,1.9248
KENYA,BESS001,2,1,5,2045,3.0683
KENYA,BESS001,2,1,5,2046,-1.7497
KENYA,BESS001,2,1,5,2047,-2.4174
KENYA,BESS001,2,1,5,2048,8.1137
KENYA,BESS001,2,1,5,2049,17.5029
KENYA,BESS001,2,1,5,2050,18.6386
KENYA,BESS001,2,1,6,2031,2.7221
KENYA,BESS001,2,1,6,2032,0.6297
KENYA,BESS001,2,1,6,2034,2.5174
KENYA,BESS001,2,1,6,2044,-0.0812
KENYA,BESS001,2,1,6,2045,-0.6345
KENYA,BESS001,2,1,6,2046,1.3811
KENYA,BESS001,2,1,6,2048,-0.7182
KENYA,BESS001,2,1,6,2049,-0.6542
KENYA,BESS001,2,1,6,2050,-1.0375
KENYA,BESS001,2,2,1,2024,0.0693
KENYA,BESS001,2,2,1,2025,2.7221
KENYA,BESS001,2,2,1,2026,1.3611
KENYA,BESS001,2,2,1,2027,2.7221
KENYA,BESS001,2,2,1,2028,2.7221
KENYA,BESS001,2,2,1,2029,2.7221
KENYA,BESS001,2,2,1,2030,2.7221
KENYA,BESS001,2,2,1,2031,2.7221
KENYA,BESS001,2,2,1,2032,2.7221
KENYA,BESS001,2,2,1,2033,1.1803
KENYA,BESS001,2,2,1,2034,2.5174
KENYA,BESS001,2,2,1,2044,0.1931
KENYA,BESS001,2,2,1,2046,2.3978
KENYA,BESS001,2,2,1,2047,7.0512
KENYA,BESS001,2,2,1,2048,6.6041
KENYA,BESS001,2,2,1,2049,17.0747
KENYA,BESS001,2,2,1,2050,16.4498
KENYA,BESS001,2,2,2,2024,-0.2048
KENYA,BESS001,2,2,2,2025,-2.7221
KENYA,BESS001,2,2,2,2026,-2.7221
KENYA,BESS001,2,2,2,2027,-2.7221
KENYA,BESS001,2,2,2,2028,-2.7221
KENYA,BESS001,2,2,2,2029,-2.7221
KENYA,BESS001,2,2,2,2030,-2.7221
KENYA,BESS001,2,2,2,2031,-2.7221
KENYA,BESS001,2,2,2,2032,-2.7221
KENYA,BESS001,2,2,2,2033,-2.7221
KENYA,BESS001,2,2,2,2034,-2.5174
KENYA,BESS001,2,2,2,2044,-1.9248
KENYA,BESS001,2,2,2,2045,-3.0683
KENYA,BESS001,2,2,2,2046,-7.4984
KENYA,BESS001,2,2,2,2047,-11.357
KENYA,BESS001,2,2,2,2048,-21.4741
KENYA,BESS001,2,2,2,2049,-33.1128
KENYA,BESS001,2,2,2,2050,-33.1128
KENYA,BESS001,2,2,3,2024,0.2048
KENYA,BESS001,2,2,3,2025,2.2148
KENYA,BESS001,2,2,3,2026,0.7249
KENYA,BESS001,2,2,3,2027,1.3035
KENYA,BESS001,2,2,3,2028,1.3807
KENYA,BESS001,2,2,3,2029,0.6522
KENYA,BESS001,2,2,3,2030,1.4603
KENYA,BESS001,2,2,3,2031,1.1206
KENYA,BESS001,2,2,3,2032,0.1457
KENYA,BESS001,2,2,3,2034,0.8515
KENYA,BESS001,2,2,3,2045,-0.0451
KENYA,BESS001,2,2,3,2049,0.3894
KENYA,BESS001,2,2,4,2024,-0.2048
KENYA,BESS001,2,2,4,2025,-2.7221
KENYA,BESS001,2,2,4,2026,-0.4206
KENYA,BESS001,2,2,4,2027,-2.7221
KENYA,BESS001,2,2,4,2028,-2.7221
KENYA,BESS001,2,2,4,2029,-2.3252
KENYA,BESS001,2,2,4,2030,-2.7221
KENYA,BESS001,2,2,4,2031,-2.7221
KENYA,BESS001,2,2,4,2032,-1.5764
KENYA,BESS001,2,2,4,2033,0.9181
KENYA,BESS001,2,2,4,2034,-2.5174
KENYA,BESS001,2,2,4,2044,1.5975
KENYA,BESS001,2,2,4,2045,3.0683
KENYA,BESS001,2,2,4,2046,4.2801
KENYA,BESS001,2,2,4,2047,3.1665
KENYA,BESS001,2,2,4,2048,13.2271
KENYA,BESS001,2,2,4,2049,8.6913
KENYA,BESS001,2,2,4,2050,9.3019
KENYA,BESS001,2,2,5,2024,0.2048
KENYA,BESS001,2,2,5,2025,-1.1039
KENYA,BESS001,2,2,5,2026,2.7221
KENYA,BESS001,2,2,5,2027,1.5905
KENYA,BESS001,2,2,5,2028,1.3623
KENYA,BESS001,2,2,5,2029,2.7221
KENYA,BESS001,2,2,5,2030,1.1268
KENYA,BESS001,2,2,5,2031,2.1312
KENYA,BESS001,2,2,5,2032,2.7221
KENYA,BESS001,2,2,5,2033,2.7221
