r,t,TotalTechnologyModelPeriodActivity
KENYA,BESS_TECH,231.8187
KENYA,DEMCOMELC,740.7919
KENYA,DEMINDELC,2552.0698
KENYA,DEMRESELC,1632.1846
KENYA,IMPELC001,228.0954
KENYA,IMPHFOMOM,69.3052
KENYA,IMPHFONAI,51.5557
KENYA,IMPNGS,1468.3464
KENYA,IMPURN,1023.3692
KENYA,MINBIO,152.5489
KENYA,MINGEO,6444.4276
KENYA,MINHYD,827.4812
KENYA,MINSOL,650.3774
KENYA,MINWND,684.1451
KENYA,PWRBIO001,53.3388
KENYA,PWRDIST,5182.8778
KENYA,PWRGEO001,2.2358
KENYA,PWRGEO002,91.8189
KENYA,PWRGEO003,30.1094
KENYA,PWRGEO004,45.6471
KENYA,PWRGEO005,22.43
KENYA,PWRGEO006,87.6453
KENYA,PWRGEO007,10.6367
KENYA,PWRGEO008,19.0196
KENYA,PWRGEO009,9.8377
KENYA,PWRGEO010,26.0849
KENYA,PWRGEO011,62.0821
KENYA,PWRGEO012,122.4649
KENYA,PWRGEO013,91.8189
KENYA,PWRGEO014,91.8189
KENYA,PWRGEO015,70.951
KENYA,PWRGEO016,62.6038
KENYA,PWRGEO017,17.1415
KENYA,PWRGEO018,21.4642
KENYA,PWRGEO019,41.7359
KENYA,PWRGEO020,32.7925
KENYA,PWRGEO021,32.7925
KENYA,PWRGEO024,59.6226
KENYA,PWRGEO025,32.7925
KENYA,PWRGEO026,32.7925
KENYA,PWRGEO027,26.0849
KENYA,PWRGEO028,23.9981
KENYA,PWRGEO029,38.7547
KENYA,PWRGEO030,35.7736
KENYA,PWRGEO031,32.7925
KENYA,PWRGEO033,14.9057
KENYA,PWRGEO034,11.4774
KENYA,PWRGEO035,20.8679
KENYA,PWRGEO038,14.9057
KENYA,PWRGEO040,10.4936
KENYA,PWRGEO042,17.8868
KENYA,PWRGEO047,2.2358
KENYA,PWRGEO049,16.277
KENYA,PWRGEO050,16.277
KENYA,PWRGEO051,16.277
KENYA,PWRGEO101,216.1192
KENYA,PWRGEO102,536.3752
KENYA,PWRHFO002,2.0392
KENYA,PWRHFO003,2.2853
KENYA,PWRHFO004,11.4744
KENYA,PWRHFO005,2.2077
KENYA,PWRHFO006,13.1496
KENYA,PWRHFO007,6.9969
KENYA,PWRHFO008,2.7999
KENYA,PWRHFO009,9.7481
KENYA,PWRHYD001,10.0907
KENYA,PWRHYD002,15.116
KENYA,PWRHYD003,42.0116
KENYA,PWRHYD004,84.3247
KENYA,PWRHYD005,18.8419
KENYA,PWRHYD006,96.3433
KENYA,PWRHYD007,55.9582
KENYA,PWRHYD008,29.4841
KENYA,PWRHYD009,9.4871
KENYA,PWRHYD010,22.3176
KENYA,PWRHYD011,10.818
KENYA,PWRHYD015,21.7159
KENYA,PWRHYD016,82.5418
KENYA,PWRHYD101,328.4305
KENYA,PWRNGS002,145.71
KENYA,PWRNGS003,72.5326
KENYA,PWRNGS004,37.8022
KENYA,PWRNGS005,9.159
KENYA,PWRNGS006,9.3112
KENYA,PWRNGS009,14.6716
KENYA,PWRNGS010,15.888
KENYA,PWRNGS011,16.2101
KENYA,PWRNGS018,197.4807
KENYA,PWRPHS001,24.7145
KENYA,PWRPHS002,25.654
KENYA,PWRSOL001,5.8824
KENYA,PWRSOL002,4.9536
KENYA,PWRSOL003,3.5294
KENYA,PWRSOL004,4.7059
KENYA,PWRSOL005,4.7059
KENYA,PWRSOL006,0.1858
KENYA,PWRSOL008,4.9536
KENYA,PWRSOL009,4.9536
KENYA,PWRSOL010,4.9536
KENYA,PWRSOL011,0.0294
KENYA,PWRSOL012,4.9536
KENYA,PWRSOL013,1.1765
KENYA,PWRSOL014,5.0001
KENYA,PWRSOL015,4.9536
KENYA,PWRSOL101,595.4403
KENYA,PWRTRN,5418.0198
KENYA,PWRURN001,132.4236
KENYA,PWRURN002,105.9388
KENYA,PWRURN003,79.4541
KENYA,PWRWND001,0.5044
KENYA,PWRWND002,3.587
KENYA,PWRWND003,2.4177
KENYA,PWRWND005,14.4751
KENYA,PWRWND006,32.9499
KENYA,PWRWND010,14.4751
KENYA,PWRWND011,32.9499
KENYA,PWRWND012,9.6252
KENYA,PWRWND013,34.6841
KENYA,PWRWND015,12.6129
KENYA,PWRWND018,29.0211
KENYA,PWRWND026,8.7162
KENYA,PWRWND027,7.0967
KENYA,PWRWND101,481.0297
